Ten_Xa,Mua_nam_TB_mm,Mua_1980_mm,Mua_1981_mm,Mua_1982_mm,Mua_1983_mm,Mua_1984_mm,Mua_1985_mm,Mua_1986_mm,Mua_1987_mm,Mua_1988_mm,Mua_1989_mm,Mua_1990_mm,Mua_1991_mm,Mua_1992_mm,Mua_1993_mm,Mua_1994_mm,Mua_1995_mm,Mua_1996_mm,Mua_1997_mm,Mua_1998_mm,Mua_1999_mm,Mua_2000_mm,Mua_2001_mm,Mua_2002_mm,Mua_2003_mm,Mua_2004_mm,Mua_2005_mm,Mua_2006_mm,Mua_2007_mm,Mua_2008_mm,Mua_2009_mm,Mua_2010_mm,Mua_2011_mm,Mua_2012_mm,Mua_2013_mm,Mua_2014_mm,Mua_2015_mm,Mua_2016_mm,Mua_2017_mm,Mua_2018_mm,Mua_2019_mm,Mua_2020_mm,Mua_2021_mm,Mua_2022_mm,Mua_2023_mm,Mua_kiet_TB_mm,Mua_kiet_1980_1981_mm,Mua_kiet_1981_1982_mm,Mua_kiet_1982_1983_mm,Mua_kiet_1983_1984_mm,Mua_kiet_1984_1985_mm,Mua_kiet_1985_1986_mm,Mua_kiet_1986_1987_mm,Mua_kiet_1987_1988_mm,Mua_kiet_1988_1989_mm,Mua_kiet_1989_1990_mm,Mua_kiet_1990_1991_mm,Mua_kiet_1991_1992_mm,Mua_kiet_1992_1993_mm,Mua_kiet_1993_1994_mm,Mua_kiet_1994_1995_mm,Mua_kiet_1995_1996_mm,Mua_kiet_1996_1997_mm,Mua_kiet_1997_1998_mm,Mua_kiet_1998_1999_mm,Mua_kiet_1999_2000_mm,Mua_kiet_2000_2001_mm,Mua_kiet_2001_2002_mm,Mua_kiet_2002_2003_mm,Mua_kiet_2003_2004_mm,Mua_kiet_2004_2005_mm,Mua_kiet_2005_2006_mm,Mua_kiet_2006_2007_mm,Mua_kiet_2007_2008_mm,Mua_kiet_2008_2009_mm,Mua_kiet_2009_2010_mm,Mua_kiet_2010_2011_mm,Mua_kiet_2011_2012_mm,Mua_kiet_2012_2013_mm,Mua_kiet_2013_2014_mm,Mua_kiet_2014_2015_mm,Mua_kiet_2015_2016_mm,Mua_kiet_2016_2017_mm,Mua_kiet_2017_2018_mm,Mua_kiet_2018_2019_mm,Mua_kiet_2019_2020_mm,Mua_kiet_2020_2021_mm,Mua_kiet_2021_2022_mm,Mua_kiet_2022_2023_mm
Xã Quang Hưng,1830.0472,2249.2996,2141.6274,1975.1385,1822.2334,1888.2876,2151.451,1934.5361,1853.8992,1567.8744,2045.3054,2027.9519,1415.7229,1781.6738,1632.0247,2558.9277,1526.3317,1934.7792,2199.5256,1461.3356,1580.4067,1623.7784,2074.645,1523.2019,1620.1986,1357.1417,1610.5382,1466.4102,1402.9326,1890.4724,1686.7802,1415.3374,1499.8242,2027.6929,2034.0109,1840.6683,1968.8497,1995.9331,2196.4045,2204.1536,1595.2765,1661.7009,2125.858,2460.7131,1491.2175,372.31,423.24338,342.6073,498.7164,282.09827,555.2801,404.45847,289.31454,388.7835,312.41373,429.55243,383.5721,349.3622,265.4547,343.42157,339.5257,397.73337,712.12024,277.9167,228.37964,429.02985,300.08676,282.36334,373.69177,245.47775,223.47603,428.4798,348.07736,294.15045,561.6955,286.2322,285.96564,300.102,385.1555,423.99722,358.14017,509.20715,410.76523,332.34488,470.42932,372.2907,443.9592,412.57162,307.68723
Xã Vũ Thư,1833.4253,2374.3672,1988.4697,2215.877,1892.9048,1901.4639,2288.5488,1588.5472,1501.5874,1514.5288,2008.8154,2253.8284,1307.4349,1548.8562,1509.5331,2562.334,1532.6782,2005.8693,1767.8375,1593.7935,1678.7709,1446.0962,2135.1626,1565.1533,1750.8905,1502.1223,1942.507,1531.6658,1382.2716,1715.9353,1678.7455,1764.7069,1961.7377,2272.453,1951.6125,1840.236,1890.0377,1906.6025,2164.2473,2027.1094,1334.7861,1840.7058,2134.1128,2454.9282,1440.8337,362.73853,412.4147,357.0033,536.25793,289.11877,481.96558,366.59647,257.75253,372.4925,265.06766,341.58475,359.9344,389.43863,309.35092,326.53732,317.90958,383.63403,460.6673,335.97385,240.5102,357.93912,285.1534,290.3955,352.03525,227.11925,291.2757,487.1354,355.4134,333.54773,613.91565,320.56674,291.64987,318.6401,314.1182,409.45975,332.51337,610.7562,363.8309,374.3499,365.38803,373.57516,389.9911,405.48615,329.29202
Phường Mỹ Lộc,1973.0737,2583.3035,2315.5635,2354.1692,2037.7244,1990.8295,2356.9004,1910.6407,1670.0582,1492.9634,2242.5635,2178.8916,1517.6578,1836.21,1804.9432,3273.3625,1746.2007,2345.9316,2090.567,1515.561,1784.297,1729.4431,2160.0283,1615.1909,1588.4807,1564.0254,1761.0448,1518.3887,1426.3042,1984.547,1858.9608,1888.9965,1969.5236,2027.367,2151.3667,2011.4045,1645.7148,1913.3662,2450.6707,2163.0908,1657.7006,1941.5441,2347.0227,2684.8289,1707.8828,399.95416,462.42114,425.2851,467.14804,342.17242,586.922,402.5255,301.10696,396.10126,319.8648,387.13416,348.48654,382.38077,333.95258,399.77637,345.99503,487.58167,644.8402,307.0658,260.869,422.41,334.18066,321.82404,367.1909,241.944,373.8752,427.90024,322.90845,328.9131,614.26715,325.13306,335.4774,355.9235,428.56845,457.3625,384.61954,523.0788,455.59256,365.16757,430.3533,458.80524,436.73325,492.2634,391.90692
Xã Yên Định,1938.7241,2346.7434,2233.7551,1902.9834,2176.2664,1758.2953,1829.8921,2097.164,1832.1875,1963.3789,1793.0618,2115.362,1627.0841,1732.3207,1841.4897,2036.518,1994.7488,1844.0385,1979.7183,1774.6057,1455.036,1617.2955,2280.152,2085.3735,1921.4679,1523.5502,2018.7869,1528.3691,1831.5392,2313.7864,1405.806,2255.643,1833.7963,2006.1935,2601.2542,2013.7695,2152.8628,2024.6633,2217.9368,2142.0107,1834.9752,1928.806,1836.8798,1947.5837,1646.7058,384.63745,482.20575,426.549,475.53366,315.56818,487.55417,466.1475,369.03793,328.24432,357.82336,585.86804,280.74792,387.14014,368.74155,302.67422,356.4376,340.49588,571.62994,377.3318,304.4679,357.0476,383.94287,253.07184,526.39355,334.2426,265.46042,405.84616,287.59,325.6137,385.731,451.5064,315.7273,336.5519,428.795,500.96158,318.39133,567.2025,352.60266,290.8844,466.53705,421.12305,291.94223,384.39288,303.65283
Phường Thạch Khôi,1781.4415,2309.9016,2026.4187,1752.1294,1658.3286,1625.0157,1853.0002,2165.1514,1775.3402,1500.4099,1743.7324,1996.1642,1426.1167,1704.0522,1637.3972,2302.164,1549.862,1620.9982,2052.36,1505.0043,1398.5454,1767.0712,1987.7172,1667.4636,1758.2936,1505.2494,1547.4996,1599.3684,1458.4601,2024.664,1448.4119,1613.8801,1765.7611,2022.884,1991.0559,1668.7391,2167.5476,1938.4767,2180.009,2206.755,1563.3151,1535.2218,1759.8599,1980.1755,1623.4694,382.40237,436.92017,426.15558,491.36908,320.19946,514.3921,417.5006,307.76627,414.27762,366.61084,519.4168,408.77795,348.73856,282.63376,363.0352,331.28802,400.71347,493.1251,310.78845,243.51839,439.74713,354.45395,325.29688,414.1955,259.80243,228.52216,396.47595,390.15918,316.19147,603.368,322.9255,328.2215,325.86804,376.7599,415.45963,317.70145,565.8868,384.1265,280.3697,507.60895,411.92044,363.0144,421.27667,296.72058
Xã Mường Khương,1626.2612,1666.9092,2207.064,1855.1626,1720.9734,1603.9164,1982.5498,2074.9683,1580.7058,1864.5748,1808.0415,1803.5756,1856.9803,1604.9508,1427.0577,2038.5586,1671.2797,1664.2034,1698.021,1184.6926,1347.141,1546.2666,1759.3741,1770.1239,1538.258,1510.3185,1695.8286,1397.484,1304.0834,1651.7769,1299.5353,1402.7354,1451.4868,1556.388,1494.156,1639.6266,1380.3356,1632.2351,1868.2311,1695.8982,1378.9072,1615.4998,1424.4948,1583.171,1297.952,363.22214,456.3216,583.5366,490.47192,457.33145,366.34866,567.8797,384.49704,494.2405,374.2828,534.75635,396.57776,366.2582,343.0027,284.3629,321.4746,323.57043,492.57257,238.22913,271.4844,351.45224,351.40118,279.9861,401.14072,344.45502,370.22388,271.4918,253.68948,299.60074,312.92545,243.33679,375.14832,248.96007,278.9603,371.39368,338.09344,398.27164,378.01956,387.86713,305.57523,337.13693,399.77127,375.64935,196.80264
Xã Ba Vì,2109.2449,2845.5176,2678.1553,2225.8774,2229.1423,2285.3894,2347.909,2385.082,2163.197,1985.7588,2113.4536,2319.5818,1652.862,1816.9869,1881.8983,2758.7803,1927.4862,2500.0078,2251.7974,1580.0032,1935.2454,1797.2821,2441.9224,1731.0825,1792.2506,1768.252,1860.7488,1733.0171,1726.682,2089.6216,1677.6982,1976.1818,2289.9004,2155.7302,2443.343,1889.3605,1858.2954,1945.8342,2586.2244,2459.8096,1908.1315,2335.5928,2254.4116,2428.974,1772.2782,423.63132,492.75604,464.97296,537.118,355.977,641.843,496.35327,377.82428,407.92767,390.87756,559.778,422.13715,412.74567,350.0263,344.92834,364.5438,393.2022,779.00464,223.08577,383.99844,530.9163,356.74844,252.8993,472.1655,380.0934,314.0831,349.09644,388.96677,347.00223,424.3366,312.0929,501.7602,426.47372,396.51187,484.43594,343.91788,452.44882,507.684,428.71445,445.939,512.394,404.28848,504.53592,279.54355
Xã Lâm Bình,2564.0454,2491.6636,3053.5537,2505.2104,2732.0718,2622.4082,2654.9644,2783.206,2703.6555,2573.5574,2518.078,2835.745,2569.3794,2295.9253,2702.5305,2733.669,2848.5603,2376.5322,2670.6516,2462.3093,2678.577,2283.057,2186.2458,2780.7285,2457.144,1958.9009,2209.0288,2618.151,2542.0256,2769.2495,2158.4336,2532.9521,2006.5973,2707.8167,2688.724,2406.4827,2685.5908,2056.711,2943.7646,2799.1975,2542.1375,2945.1658,2431.3953,2742.1475,2554.0896,544.58124,768.93634,600.8414,457.58453,484.09586,594.1935,696.31323,426.75998,527.2549,437.0456,793.0365,599.11505,442.28168,591.36847,468.487,533.1267,517.05646,743.6446,427.94934,495.7817,516.27814,414.53906,561.9103,529.2769,404.30133,488.6526,416.0817,783.99036,395.83316,551.38354,394.87836,507.97922,325.48175,552.66187,482.49042,500.49036,542.0136,696.2743,520.7347,810.05664,697.80493,539.3462,652.7327,526.9296
Xã Diên Hà,1875.4371,2326.8716,2098.833,2151.1394,1872.988,1953.7051,2255.8396,1780.7875,1767.5597,1642.233,2066.4473,2206.36,1341.3479,1696.5269,1623.9911,2514.6648,1606.6844,1918.4751,2037.9045,1677.8168,1676.5924,1560.3451,2148.586,1644.1948,1805.6813,1430.8795,1869.671,1580.0868,1428.3811,1818.4154,1740.1732,1633.5796,1735.1654,2248.124,1995.9945,1863.0358,1938.1781,2067.9697,2182.8113,2208.9783,1444.345,1785.5884,2116.8926,2556.16,1499.2432,368.86163,431.07037,334.62772,547.03656,273.6263,528.0813,375.63046,271.21994,395.07614,282.48807,384.65372,371.51828,373.8705,291.26456,327.42606,333.52536,366.9389,584.3444,326.88202,250.60054,392.1914,287.73367,291.66733,379.7237,241.50005,225.91435,479.57727,348.90067,316.60312,583.9276,312.5739,287.4428,307.55386,348.67886,419.1101,335.93066,599.19946,376.6091,365.8316,418.6223,350.26718,415.36,400.60553,325.64316
Xã Bình Gia,1946.2378,2192.573,2329.6885,2044.0057,2082.8882,1748.876,2283.3572,2372.2693,1872.922,1780.8292,1711.2587,2297.2136,1785.1761,1736.9702,1905.366,2120.0552,1848.5879,1945.6616,2129.5928,1634.0448,1599.8613,1420.2201,1934.6759,1767.7991,1605.2212,1586.0186,1899.1923,1810.4119,1641.9569,2306.4663,1498.3215,1996.888,1791.9043,1886.7122,3468.8733,2161.5762,1923.7537,1635.7682,2165.5408,2144.4583,2048.8623,1929.4156,1792.4785,2108.518,1688.2477,506.1484,626.1816,644.33203,571.63116,353.29092,573.4423,685.5782,402.29425,518.0427,499.08914,953.3604,398.51224,461.2985,476.90903,393.89313,426.76227,437.655,816.5748,361.831,370.7304,481.09497,457.414,292.92975,495.8821,368.45065,409.528,437.32745,500.00488,458.5161,446.97247,449.84775,464.37576,466.31036,719.2078,822.9193,422.35278,587.52606,523.27893,480.6022,629.13214,691.5245,343.9227,498.71472,345.13446
