Ten_Xa,Mua_nam_TB_mm,Mua_1980_mm,Mua_1981_mm,Mua_1982_mm,Mua_1983_mm,Mua_1984_mm,Mua_1985_mm,Mua_1986_mm,Mua_1987_mm,Mua_1988_mm,Mua_1989_mm,Mua_1990_mm,Mua_1991_mm,Mua_1992_mm,Mua_1993_mm,Mua_1994_mm,Mua_1995_mm,Mua_1996_mm,Mua_1997_mm,Mua_1998_mm,Mua_1999_mm,Mua_2000_mm,Mua_2001_mm,Mua_2002_mm,Mua_2003_mm,Mua_2004_mm,Mua_2005_mm,Mua_2006_mm,Mua_2007_mm,Mua_2008_mm,Mua_2009_mm,Mua_2010_mm,Mua_2011_mm,Mua_2012_mm,Mua_2013_mm,Mua_2014_mm,Mua_2015_mm,Mua_2016_mm,Mua_2017_mm,Mua_2018_mm,Mua_2019_mm,Mua_2020_mm,Mua_2021_mm,Mua_2022_mm,Mua_2023_mm,Mua_kiet_TB_mm,Mua_kiet_1980_1981_mm,Mua_kiet_1981_1982_mm,Mua_kiet_1982_1983_mm,Mua_kiet_1983_1984_mm,Mua_kiet_1984_1985_mm,Mua_kiet_1985_1986_mm,Mua_kiet_1986_1987_mm,Mua_kiet_1987_1988_mm,Mua_kiet_1988_1989_mm,Mua_kiet_1989_1990_mm,Mua_kiet_1990_1991_mm,Mua_kiet_1991_1992_mm,Mua_kiet_1992_1993_mm,Mua_kiet_1993_1994_mm,Mua_kiet_1994_1995_mm,Mua_kiet_1995_1996_mm,Mua_kiet_1996_1997_mm,Mua_kiet_1997_1998_mm,Mua_kiet_1998_1999_mm,Mua_kiet_1999_2000_mm,Mua_kiet_2000_2001_mm,Mua_kiet_2001_2002_mm,Mua_kiet_2002_2003_mm,Mua_kiet_2003_2004_mm,Mua_kiet_2004_2005_mm,Mua_kiet_2005_2006_mm,Mua_kiet_2006_2007_mm,Mua_kiet_2007_2008_mm,Mua_kiet_2008_2009_mm,Mua_kiet_2009_2010_mm,Mua_kiet_2010_2011_mm,Mua_kiet_2011_2012_mm,Mua_kiet_2012_2013_mm,Mua_kiet_2013_2014_mm,Mua_kiet_2014_2015_mm,Mua_kiet_2015_2016_mm,Mua_kiet_2016_2017_mm,Mua_kiet_2017_2018_mm,Mua_kiet_2018_2019_mm,Mua_kiet_2019_2020_mm,Mua_kiet_2020_2021_mm,Mua_kiet_2021_2022_mm,Mua_kiet_2022_2023_mm
Xã Quan Sơn,1558.9398,1897.2289,2039.067,1812.4806,1643.1816,1491.3127,1707.3245,1880.0637,1402.573,1556.5587,1604.8613,1772.544,1247.6709,1464.0282,1473.2725,1794.0933,1469.4283,1556.7238,1805.5685,1317.393,1171.0808,1181.4353,1828.7856,1562.7566,1373.8271,1279.1066,1449.764,1256.4716,1388.5176,1901.99,1163.9486,1662.593,1346.813,1567.958,1819.8977,1704.415,1743.2396,1506.9375,1641.6307,1768.6771,1495.3748,1436.7188,1380.4899,1704.3564,1321.1881,394.60526,553.8023,476.40628,496.00113,326.6648,487.86646,509.57758,351.94305,391.80124,453.96365,635.9204,317.02243,372.99658,406.55023,312.97552,366.67612,372.1162,619.51654,365.14297,260.41452,409.50128,393.45932,315.02457,451.49323,309.72302,295.93707,348.93182,333.1118,332.72275,359.47623,421.67703,332.17758,309.74234,401.66748,494.20316,315.06274,509.79456,343.3714,329.6129,467.67764,479.98947,273.2908,402.28998,260.72946
Phường Việt Hòa,1781.4415,2309.9016,2026.4187,1752.1294,1658.3286,1625.0157,1853.0002,2165.1514,1775.3402,1500.4099,1743.7324,1996.1642,1426.1167,1704.0522,1637.3972,2302.164,1549.862,1620.9982,2052.36,1505.0043,1398.5454,1767.0712,1987.7172,1667.4636,1758.2936,1505.2494,1547.4996,1599.3684,1458.4601,2024.664,1448.4119,1613.8801,1765.7611,2022.884,1991.0559,1668.7391,2167.5476,1938.4767,2180.009,2206.755,1563.3151,1535.2218,1759.8599,1980.1755,1623.4694,382.40237,436.92017,426.15558,491.36908,320.19946,514.3921,417.5006,307.76627,414.27762,366.61084,519.4168,408.77795,348.73856,282.63376,363.0352,331.28802,400.71347,493.1251,310.78845,243.51839,439.74713,354.45395,325.29688,414.1955,259.80243,228.52216,396.47595,390.15918,316.19147,603.368,322.9255,328.2215,325.86804,376.7599,415.45963,317.70145,565.8868,384.1265,280.3697,507.60895,411.92044,363.0144,421.27667,296.72058
Phường Vĩnh Phúc,1926.5327,2720.5781,2074.8308,1958.9392,1904.2992,2345.0886,1995.4176,1812.2961,1956.6764,1671.3827,1941.2036,1782.9895,1832.5643,1636.1804,1709.7344,2486.0461,1578.998,1967.7892,2231.9607,1275.3746,1683.4407,1649.7744,1899.5404,1664.5182,1651.5243,1328.4415,1714.2881,1622.059,1434.378,2450.4473,1664.8829,2066.94,2212.4766,1851.5421,2175.3992,1780.1788,1886.649,2101.0105,2134.966,2170.6858,1742.6531,2407.5732,2175.8762,2516.5898,1899.2463,408.20825,439.0305,529.9524,510.90512,422.789,690.10016,484.161,424.29767,374.33057,389.30945,408.9357,354.74155,383.3115,343.68555,335.48947,322.50735,430.65686,644.5033,217.46498,266.55768,463.22055,368.25256,239.46907,391.13873,347.0079,325.80542,367.21066,442.07886,324.55713,571.91846,278.54413,428.7996,332.60956,349.53128,382.30826,308.0314,498.1241,452.88214,369.89243,476.74295,603.20856,450.39734,525.6924,282.8036
Phường Kỳ Lừa,1663.0762,1952.3235,2164.6614,2045.1829,1676.2971,1528.3854,1770.3826,2049.6128,1418.1953,1457.7888,1691.8513,1760.8716,1251.4469,1539.3635,1573.9163,2000.8403,1276.1635,1673.0988,1755.8733,1287.056,1242.1171,1174.4421,1826.5747,1569.169,1307.2467,1388.54,1500.8087,1371.085,1486.0957,1915.9904,1189.5084,1928.9862,1638.4269,1867.536,2104.1929,2012.8685,1938.2362,1537.5718,1824.2273,2104.5083,1670.9955,1581.9724,1562.0222,1914.7113,1644.219,444.24258,604.198,552.13727,567.42194,314.0333,470.25214,471.39453,371.0259,396.88867,518.3472,696.8199,321.46414,376.95227,407.48044,326.44882,360.68735,399.8704,618.183,327.26974,315.06882,416.96875,418.30414,290.06055,407.9719,294.59607,338.0374,369.4308,386.27856,381.75763,349.70792,465.11313,481.2312,406.99753,522.7111,733.4899,423.1576,613.7292,500.55148,470.51407,564.3009,599.68176,358.4042,488.74246,404.75214
Phường Tự Lạn,1838.6484,2012.1039,2085.275,1571.9072,1869.4752,1814.4167,1853.9614,2250.273,2027.5585,1818.7562,2113.8564,2077.7112,1951.1559,1728.8551,1810.8251,2167.34,1987.5166,1799.3932,2264.255,1776.5422,1568.6562,1711.4089,2047.6617,1738.9716,1544.4371,1308.9471,1581.6501,1378.1649,1565.4257,2036.434,1459.8502,1862.4802,1757.4559,1709.0355,2137.2786,1734.789,2237.947,1873.7937,2144.1785,2101.404,1741.379,1801.7593,1452.0277,1800.1984,1624.0178,400.84726,446.37628,372.48193,369.92053,384.10513,493.70963,491.16937,350.42432,389.03583,398.2735,532.291,484.32324,434.63516,388.6762,320.12717,408.5928,377.6794,728.042,335.23846,278.9908,434.73035,393.33527,238.99457,397.3629,307.2917,304.49976,346.49353,444.97693,304.1175,522.34906,317.95825,355.00732,291.3346,384.20477,404.49844,338.54263,568.99194,370.9075,388.7941,580.2581,520.41864,343.18652,394.36475,299.72342
Xã Bảo Nhai,1865.607,1903.7046,2673.1265,2175.6975,1759.0159,1702.5784,2002.7883,2085.3525,1721.7311,1946.656,1997.0674,2124.1116,1687.2871,1915.19,1678.6438,1991.6411,1860.4293,2042.5693,2157.8801,1500.5892,1502.2378,1763.9535,1934.9995,2286.4243,1661.1957,1647.2155,1917.7314,1601.4355,1541.8838,2019.1094,1550.4865,1868.7239,1712.5933,1771.6499,1855.2565,1831.5787,1537.9353,1953.9053,2287.4075,2005.5046,1681.2983,1999.1532,1691.6558,1835.3826,1701.9263,434.3656,503.85687,711.85675,485.62418,464.2938,350.58444,643.5325,348.31885,536.25354,426.2962,626.93567,364.77615,347.36624,435.71783,262.36023,358.4259,464.2428,695.1927,305.601,366.6244,441.98337,427.21542,425.68576,488.19562,404.98483,434.04617,332.7036,386.9291,429.04657,387.86334,301.33484,459.5206,375.62234,403.91165,399.8431,363.4503,458.39163,545.1179,485.05914,390.75443,449.9947,437.05804,433.339,317.81125
Phường Võ Cường,1883.8945,2156.3657,2189.475,1710.783,1850.2928,1869.2408,1874.5166,2354.3264,2038.0005,1774.9307,2116.9446,2100.2192,1836.031,1798.0813,1866.1603,2251.448,1947.0687,1849.3324,2279.9666,1795.82,1551.3546,1682.6821,2100.2725,1755.86,1564.3024,1340.6625,1734.3235,1337.2301,1613.7971,2050.545,1586.0079,1822.1831,1847.8674,1780.7041,2029.0604,1802.6244,2294.048,2037.4327,2230.7913,2275.4893,1841.6982,1856.071,1599.7319,1905.7991,1591.8186,392.21793,426.13336,376.21362,378.77902,360.8837,507.80212,465.54584,331.83444,373.28357,384.68463,526.83374,439.35214,413.16577,358.70615,303.62253,383.76437,373.8928,728.22406,322.64487,262.70377,425.2876,370.87268,238.22305,382.3796,289.925,287.3288,353.5843,447.77863,302.71216,521.5738,285.90436,350.16162,270.23767,390.74332,405.57285,304.53333,577.5712,363.07608,398.64178,583.8052,521.4882,368.26334,406.3769,301.2599
Xã Lạc Đạo,1891.1902,2295.9734,2291.7227,1978.3564,1826.3346,1949.3452,2014.9564,2349.2222,1873.0415,1613.569,2071.5132,1960.5817,1636.8569,1746.1093,1742.1385,2520.703,1661.146,1863.8391,2200.9011,1570.271,1574.4016,1652.9144,2213.3657,1681.975,1634.2405,1472.0911,1695.0414,1401.3998,1701.946,2097.2812,1742.5825,1615.1742,1835.3458,1988.7985,2056.5964,1863.407,2069.8132,2029.622,2175.6995,2218.3174,1799.1719,1860.8265,1936.7632,2176.1277,1552.8674,382.89697,450.19138,382.629,429.4588,321.86752,678.6385,448.82422,306.77563,397.92215,346.62213,506.06116,397.94116,378.4066,323.81308,319.84464,333.08502,391.29102,687.3313,282.72543,233.50703,471.4346,329.7448,260.1802,368.9658,268.7501,256.70248,359.74887,408.23486,290.35382,485.43253,270.47958,344.77753,288.57034,372.9467,442.33676,298.17108,480.6142,373.68622,355.61856,508.84512,505.4999,400.71863,412.13287,293.68967
Phường Nhân Hòa,1883.8945,2156.3657,2189.475,1710.783,1850.2928,1869.2408,1874.5166,2354.3264,2038.0005,1774.9307,2116.9446,2100.2192,1836.031,1798.0813,1866.1603,2251.448,1947.0687,1849.3324,2279.9666,1795.82,1551.3546,1682.6821,2100.2725,1755.86,1564.3024,1340.6625,1734.3235,1337.2301,1613.7971,2050.545,1586.0079,1822.1831,1847.8674,1780.7041,2029.0604,1802.6244,2294.048,2037.4327,2230.7913,2275.4893,1841.6982,1856.071,1599.7319,1905.7991,1591.8186,392.21793,426.13336,376.21362,378.77902,360.8837,507.80212,465.54584,331.83444,373.28357,384.68463,526.83374,439.35214,413.16577,358.70615,303.62253,383.76437,373.8928,728.22406,322.64487,262.70377,425.2876,370.87268,238.22305,382.3796,289.925,287.3288,353.5843,447.77863,302.71216,521.5738,285.90436,350.16162,270.23767,390.74332,405.57285,304.53333,577.5712,363.07608,398.64178,583.8052,521.4882,368.26334,406.3769,301.2599
Xã Mù Cang Chải,2113.7576,2359.0208,2503.246,2007.3652,2356.8738,2139.2756,2300.6748,2389.4485,1943.4711,2272.16,2015.3439,2446.6672,2114.7056,2165.084,1765.5444,2465.7207,2103.7668,2292.1165,2145.1873,2304.1956,1762.7169,1812.6667,1902.3701,2514.5989,1827.6201,2027.96,2092.5833,1824.1272,1968.1083,2598.9753,1858.9329,1707.337,1544.5918,2163.9346,2212.1477,2192.0618,2184.0688,1860.6165,2516.221,2282.6062,2001.7349,2217.6611,1850.5514,2119.292,1871.9642,507.28943,615.1375,516.045,694.8601,553.8765,554.18164,600.9273,406.97025,503.13538,520.6277,678.45197,484.8131,457.79337,487.80164,411.41614,458.0905,525.0454,634.40216,402.21765,440.23172,487.55893,476.05637,413.55334,550.091,565.3983,467.34537,403.62082,427.71698,539.59845,455.55096,426.63205,503.0263,401.739,566.5832,496.12653,536.7885,576.795,627.47455,532.7026,485.0086,569.2574,421.71918,544.58826,392.4858
Xã Bản Máy,1830.8394,1552.748,2306.1824,2106.346,2218.4907,1943.9071,1976.5663,2254.229,1802.8518,1838.4452,1995.9144,2191.7144,1931.4106,1609.77,1590.5076,2185.573,1778.2748,1894.9584,1746.252,1546.081,1480.92,1650.0684,1610.1615,1969.0146,1551.6001,1597.0531,1659.9429,1569.351,1697.9092,2307.94,1395.0623,1991.696,1399.199,1899.7589,1878.0847,1842.4329,1697.6179,1901.0957,2289.8877,1813.9733,1481.4843,2120.3076,1722.1151,1892.6022,1667.4247,376.59604,520.9421,481.42603,466.42114,405.95898,391.4808,536.66895,316.83115,383.50497,360.7968,563.6472,328.09537,330.9278,354.44345,271.99252,330.42496,345.10858,649.2311,245.3194,267.75467,393.43488,370.60773,293.52246,363.1772,379.44724,354.37213,270.48697,331.681,314.45236,393.01273,287.1794,359.5969,278.3098,336.4353,408.82477,315.35748,406.974,507.19647,379.46948,431.8956,493.4137,331.9585,350.2483,291.60043
Xã Lương Sơn,2177.5623,2881.2627,2640.4978,2361.0342,2236.1182,2306.546,2433.821,2311.4678,2150.283,1940.3743,2297.7656,2251.3972,1716.8557,1813.0463,2017.1525,2862.5261,1959.6205,2434.11,2459.025,1904.0106,2119.4128,2086.965,2547.155,1787.1049,1872.6711,1696.0925,2238.3435,1791.1606,1853.0385,2433.934,1791.3591,1958.9882,2022.1205,2146.518,2216.5618,1956.8295,1880.9515,1938.7356,2592.7473,2854.644,2011.2842,2333.5303,2498.6833,2353.2417,1853.7633,413.30002,481.03296,448.76202,543.38,310.78128,707.63855,507.84247,381.11264,406.39462,362.3695,563.08685,401.22247,388.96555,367.5114,379.37088,353.80127,406.69806,692.7537,260.28003,420.92023,596.7471,326.60184,221.19176,417.59506,356.79727,262.51553,379.28842,386.7579,289.0712,454.07712,287.98248,392.09897,305.09625,398.63083,452.01715,344.77805,476.62268,477.5157,398.5255,468.24374,524.2126,464.05972,442.5857,264.96194
Phường Ba Đình,1886.9952,2275.8638,2069.2314,1931.1929,1931.98,2177.0947,1963.2952,2442.2932,1849.8928,1458.4202,2094.7087,1741.3453,1806.5414,1592.5259,1693.2333,2720.3472,1587.577,1698.4425,2230.1267,1534.584,1659.7279,1574.1443,2360.9863,1556.8519,1619.2366,1492.435,1702.2693,1458.3046,1638.8582,2583.1846,1737.6552,1740.0116,1817.3402,1940.03,2174.3442,1988.6061,1696.33,1881.3828,2008.0312,2137.8677,1622.0829,1916.4358,2092.899,2248.2405,1581.8296,396.22543,401.09064,407.99985,468.26923,366.97778,938.6746,503.12518,319.1166,419.295,347.31555,552.3908,409.20984,409.52466,365.656,335.5491,344.0085,419.72235,577.70245,255.9011,242.03825,510.77484,370.11282,245.1747,375.2025,300.263,242.46732,335.1928,377.4616,302.61676,526.88934,270.0179,365.12936,289.1418,373.13068,488.9941,294.08075,403.1398,387.7542,369.5696,486.7445,558.4302,421.22742,404.6669,255.94258
Xã Hòa An,2033.8676,2314.6838,2689.8208,2189.3125,2231.8337,2090.9976,1949.8212,2333.9785,1855.6996,1911.0623,2045.1996,2502.9802,1817.5048,1894.9003,1875.01,2189.82,1893.4292,2298.4568,1988.4023,1681.255,1785.5017,1732.2971,2014.8453,2385.2214,1673.6777,1711.3279,1797.0901,2112.686,1731.8729,2216.4287,1734.6522,1988.739,1737.7437,2243.831,2059.0347,1923.495,1992.6295,1933.0997,2708.5745,2098.5173,2122.0254,1939.8381,1706.4926,2375.2993,2011.0955,435.46848,774.1081,483.52472,486.49945,422.882,371.56644,624.9162,307.34836,349.36066,462.19815,576.86053,355.23163,345.92993,423.2359,342.30154,326.72406,398.39432,587.0005,415.52847,371.8167,390.5762,372.0652,327.3214,414.60373,399.9889,449.7182,275.21255,392.82416,402.1114,416.75656,404.9425,485.8967,322.61356,429.5065,401.31357,424.5576,549.095,680.9909,500.8326,538.3634,477.69205,385.22928,513.6822,343.82382
Phường Văn Phú,2119.2166,2386.6553,2679.622,2629.4512,2144.7087,2268.3293,2273.614,2747.2324,2208.2651,2025.4707,2303.6267,1945.8522,1835.7164,2171.6187,1834.8137,2568.337,2328.9224,2282.8098,2608.5837,1725.5504,1874.6351,2204.6074,1924.5153,1697.782,1699.3379,1770.7214,2074.701,1956.0308,1703.8168,2138.4744,1799.443,2391.8267,2213.8281,2274.0037,1887.2474,2019.2435,2228.6956,1986.4305,2667.761,2141.3667,1918.0887,2020.7869,1785.2708,2245.9846,1651.769,467.4694,635.07404,501.7833,501.3655,517.97723,512.1816,662.19305,398.98926,439.6252,495.32184,554.9897,449.22723,384.91483,484.51178,329.5731,362.3299,439.72772,700.55676,327.67706,496.85886,510.12192,404.81403,314.70145,403.53046,436.92584,419.18393,343.46582,362.80365,416.48853,438.81052,375.3354,501.35968,412.2027,481.95712,441.4903,510.0791,643.0964,653.5168,467.9145,417.8666,509.19864,440.69507,635.38354,365.36435
Xã Tân Thành,1639.9435,1860.382,1961.6865,1745.0585,1805.9785,1620.4734,1979.3285,2008.8379,1484.6572,1656.9963,1646.6038,1903.1213,1510.1144,1455.6373,1481.6272,1943.8246,1688.2574,1551.7882,1893.3257,1430.7283,1287.8464,1309.5007,1861.9236,1696.6844,1387.0502,1348.925,1501.6709,1312.513,1375.7139,2140.1401,1375.6217,1662.8412,1406.206,1662.8143,1991.9053,1750.8832,1899.8566,1627.04,1612.9844,1708.6768,1440.4791,1563.2524,1458.2206,1755.3325,1391.0145,398.823,470.88983,416.54456,505.02698,349.0933,530.6892,560.67834,372.15207,369.28967,428.521,598.5322,335.10422,372.89233,473.31598,326.2605,368.02234,366.19757,670.9905,376.04056,254.87018,423.9134,400.70288,324.05856,440.17462,316.06143,282.96945,363.58972,392.94452,313.4318,413.01932,451.50443,332.64008,337.23294,413.78476,455.49185,292.10065,507.41254,333.3516,293.85138,449.4932,486.34933,296.97626,429.0627,254.15744
Phường Đồng Văn,1948.9396,2518.291,2242.305,2335.7122,1891.862,1959.9072,2291.2847,1981.4387,1966.818,1594.638,2111.7073,2049.3713,1592.4652,1940.9459,1858.8031,3048.2998,1699.4672,2279.7358,2373.901,1420.62,1743.4794,1605.9626,2194.906,1637.0269,1549.9332,1313.9097,1624.6787,1462.6077,1529.0013,2032.1036,1755.5658,1654.0504,1655.1993,1901.0803,2078.965,1983.4636,1613.5841,2014.7343,2388.811,2325.4666,1929.4502,1832.8695,2293.1829,2754.1428,1721.5824,416.5581,439.47086,368.46793,582.05115,312.88895,643.7862,434.65823,340.63568,413.57446,346.01035,485.41858,400.06955,390.21863,336.89407,397.6816,392.979,464.57315,884.8313,293.9858,265.99442,477.77832,322.02136,300.16785,399.462,246.84152,270.7262,418.35275,316.38422,290.44763,513.4441,302.726,372.0806,344.55484,483.1017,501.60822,427.98816,528.51086,486.87122,373.79492,527.80396,519.90564,482.639,448.96188,361.63657
Xã Nậm Dịch,3173.822,3064.4385,3871.6152,2591.7883,3322.8447,3432.704,2883.4995,3373.7522,3648.5264,3029.8782,3087.8552,3255.9875,3385.5872,3023.803,3530.7507,2937.139,3507.789,3165.3975,3627.1936,3359.5852,3423.175,2945.3596,2787.2827,3600.2642,3259.4888,2487.1086,2634.491,3098.5093,2943.9148,3401.8633,2772.4487,3086.5159,2300.4094,3182.9468,3131.2217,3207.8926,3121.2253,2670.252,3957.5598,3387.6682,3220.5242,3523.3838,3176.2756,3159.9966,3068.2544,624.9024,904.154,728.17975,599.8035,574.15967,645.9886,842.9006,560.2501,530.5165,508.8305,802.97253,573.3984,534.3603,731.4902,500.11368,563.79095,549.9469,862.0078,482.89627,604.3162,562.6045,588.4858,760.89606,649.86084,568.7248,668.00555,486.48294,653.552,507.37393,640.4179,444.7074,558.4821,415.9784,630.9505,556.31696,560.0626,587.87354,760.03296,633.9429,818.4818,695.38367,683.55444,721.852,616.70294
Phường Mộc Sơn,1722.3169,2040.0878,1968.2316,1848.0264,1972.4807,1593.5393,1868.2356,1794.647,1752.6702,1513.1821,1731.1072,1849.6124,1366.7935,1705.078,1610.446,2029.6259,1688.7693,2082.9211,1728.7084,1235.2417,1423.0603,1414.3297,1741.5206,1906.0,1324.5149,1759.8748,1794.0345,1656.539,1759.8564,1958.9636,1463.0243,1686.9789,1613.9441,1764.4287,1769.0564,1621.1102,1682.8972,1624.0483,1797.6523,2391.9631,1786.7417,1653.9208,1445.513,1936.412,1426.1567,326.86383,440.83948,333.5442,426.17767,340.84116,334.13232,374.36542,318.7125,343.23166,280.35406,334.21274,308.9954,281.93365,313.79123,285.14435,277.11023,360.70102,470.17065,185.86876,239.97762,362.08856,304.03018,285.51163,371.5151,371.6042,227.5294,290.7685,319.4399,364.78525,291.10696,290.8413,387.1172,278.90765,308.8574,319.5847,307.3798,397.6112,347.05307,339.4001,313.4929,398.4073,327.4354,410.27954,190.29427
Xã Kiên Mộc,1724.8562,1891.4888,2041.7987,1895.2775,1661.3818,1731.1906,1882.4667,2176.016,1706.848,1508.8232,1624.5588,1730.2396,1259.9769,1699.1542,1810.347,1980.2083,1645.0929,1653.2487,1684.1906,1501.2262,1510.553,1253.22,2071.4407,1650.7849,1438.1045,1268.7794,1895.8059,1469.2792,1283.6945,2343.5151,1430.4185,2103.9016,1704.6406,1975.5995,2195.8333,2078.8237,1886.0092,1874.7051,1851.2208,1945.9581,1447.002,1600.1735,1449.909,1822.5986,1258.161,376.26065,528.1004,411.28464,534.99713,251.45125,407.70087,379.66965,370.28986,369.40402,314.99185,545.8783,267.55307,349.56018,481.67606,290.0578,327.00583,304.94278,502.317,319.66544,256.497,338.31036,327.4408,266.71146,468.9593,287.11322,257.4668,335.89322,293.22418,250.5936,546.14105,484.82843,297.84363,314.98953,456.1893,704.1159,333.4971,539.67535,344.4231,315.1728,466.77722,430.44284,335.2819,333.5112,237.56172
Xã Tràng Xá,1894.5449,2087.32,2247.996,2036.7919,1926.3851,1673.4099,2059.129,2459.3025,1813.125,1830.7336,1914.2426,2231.1086,1826.4933,1736.5808,1912.6954,2236.2983,2127.1758,1949.3522,2052.3752,1637.0248,1732.0492,1848.8041,1962.9304,1887.5255,1620.0858,1593.6512,1486.7139,1697.9806,1702.5818,2082.8372,1510.7579,1917.038,1626.2302,1840.1841,2669.4158,1893.5521,1983.4117,1659.2948,2087.832,2002.6812,1822.4623,1765.8223,1651.071,1812.0615,1745.4604,375.41156,478.26645,429.2181,405.4893,299.0098,392.65485,622.65137,364.1885,359.22687,357.59958,618.8345,326.90836,352.6138,393.9967,290.51978,362.24655,358.34186,581.4799,306.1365,312.3085,406.6721,334.2752,235.10211,392.15952,256.28433,298.33603,305.10583,380.95703,299.73315,352.97662,362.84952,329.08878,299.8198,430.32745,512.23505,330.15384,471.91605,362.9957,323.43808,482.20166,491.2469,275.35205,360.40314,237.37401
Xã Gia Trấn,2126.6396,2806.183,2527.516,2535.1377,2012.3575,2081.142,2760.873,2108.491,1866.4989,1598.3245,2394.0222,2132.0159,1628.5194,1973.1218,1860.5352,3521.788,2004.9905,2575.5823,2407.5325,1565.7614,1993.6195,1926.3567,2096.0442,2041.7197,1773.4773,1542.7025,2084.7126,1815.0048,1859.9395,2169.8892,1943.4767,2200.5894,1984.5441,2066.7368,2258.0293,1978.0193,1682.8348,1981.5725,2329.615,2397.661,1987.0717,2096.43,2184.2559,2954.0635,1863.3971,415.9657,416.54645,424.34903,537.1436,341.38815,680.20215,385.79288,344.1473,410.86594,346.38,452.72186,368.48767,393.7824,335.08862,402.68448,339.04828,462.1322,894.1841,307.31955,314.30167,470.6576,345.64038,305.2241,425.6446,262.64172,294.00204,425.16806,303.67978,298.86084,511.9425,350.95663,359.80276,337.32993,473.83896,437.7572,403.04678,556.73785,460.61795,366.12082,448.51578,529.45514,458.83728,471.45456,432.02594
Xã Bằng Luân,1932.1989,2624.1816,2526.6743,2347.4043,1966.2672,1981.5022,2131.3079,2447.1228,2058.6768,1850.8248,2169.907,2004.3909,1866.4396,1873.1124,1656.5128,2325.9004,2006.9548,2187.9426,2202.7441,1522.2045,1617.0876,1814.6954,1851.9913,1731.989,1560.0587,1633.4569,1738.9248,1870.4067,1572.7832,1913.1823,1500.7872,1902.1385,1948.5845,1905.22,1980.0002,1948.7545,2246.2432,1670.4636,2434.3533,1784.5876,1592.4327,1781.5424,1496.919,2182.634,1587.4546,439.1686,604.70605,502.89453,493.59265,422.74982,489.75522,663.47784,386.7951,437.80002,443.98227,522.95654,397.2539,339.82324,370.6815,307.08746,380.43738,438.80478,644.5626,318.14175,361.48074,452.7224,368.81454,276.75357,417.78793,393.66534,372.9193,334.66174,393.32916,394.32492,485.72385,372.8641,469.06866,366.92755,392.9436,429.78766,473.66196,771.21356,731.7533,431.58667,320.88977,488.03482,377.99673,590.8504,248.9838
Xã Nguyễn Du,1875.4371,2326.8716,2098.833,2151.1394,1872.988,1953.7051,2255.8396,1780.7875,1767.5597,1642.233,2066.4473,2206.36,1341.3479,1696.5269,1623.9911,2514.6648,1606.6844,1918.4751,2037.9045,1677.8168,1676.5924,1560.3451,2148.586,1644.1948,1805.6813,1430.8795,1869.671,1580.0868,1428.3811,1818.4154,1740.1732,1633.5796,1735.1654,2248.124,1995.9945,1863.0358,1938.1781,2067.9697,2182.8113,2208.9783,1444.345,1785.5884,2116.8926,2556.16,1499.2432,368.86163,431.07037,334.62772,547.03656,273.6263,528.0813,375.63046,271.21994,395.07614,282.48807,384.65372,371.51828,373.8705,291.26456,327.42606,333.52536,366.9389,584.3444,326.88202,250.60054,392.1914,287.73367,291.66733,379.7237,241.50005,225.91435,479.57727,348.90067,316.60312,583.9276,312.5739,287.4428,307.55386,348.67886,419.1101,335.93066,599.19946,376.6091,365.8316,418.6223,350.26718,415.36,400.60553,325.64316
Xã Phiêng Cằm,1491.5364,1731.8217,1929.9027,1789.3215,1609.4216,1288.9985,1506.1559,1436.0103,1413.69,1303.4183,1355.7504,1662.2546,1543.2404,1646.7767,1627.8337,1858.4019,1628.4309,1479.4318,1517.7869,1164.4614,1357.7866,1426.6497,1274.9824,1688.1946,1141.2727,1364.6764,1343.5474,1306.5264,1538.0276,2228.572,1316.2745,1342.6642,1305.8116,1544.0546,1595.432,1529.3812,1545.6812,1385.3683,1591.2789,1733.1261,1180.4039,1468.1044,1108.1157,1533.375,1285.1832,358.18683,396.27933,433.99292,393.7546,420.302,399.27728,433.77338,320.40387,389.4933,333.23502,410.4549,358.2152,280.56555,353.3938,280.1111,308.37863,346.0872,342.34808,268.8152,212.38657,341.77936,291.00055,302.45627,463.04028,424.9394,299.18713,333.65997,348.5448,401.49014,372.88507,359.85214,402.5308,357.76697,366.69186,326.84363,401.36993,421.0124,467.8455,360.0045,334.65662,392.73007,260.65112,461.615,228.20903
Xã Giao Hưng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
